,accuracy,cross_entropy,iterations
0,0.140625,2.5060973167419434,0
1,0.2109375,2.3072359561920166,1
2,0.3515625,2.0122056007385254,2
3,0.3515625,1.8627560138702393,3
4,0.4375,1.8083540201187134,4
5,0.46875,1.6999326944351196,5
6,0.4765625,1.5817334651947021,6
7,0.3984375,1.691772222518921,7
8,0.53125,1.441375494003296,8
9,0.5234375,1.547330617904663,9
10,0.5625,1.2961921691894531,10
11,0.5625,1.344761610031128,11
12,0.6015625,1.2598488330841064,12
13,0.5703125,1.2994072437286377,13
14,0.609375,1.1302196979522705,14
15,0.578125,1.2453854084014893,15
16,0.6328125,1.041466474533081,16
17,0.671875,0.983354389667511,17
18,0.6953125,0.9682918190956116,18
19,0.6875,0.900871753692627,19
20,0.71875,0.9070994853973389,20
21,0.609375,1.1188483238220215,21
22,0.7109375,0.8882268667221069,22
23,0.6640625,1.0696587562561035,23
24,0.6796875,0.8968071937561035,24
25,0.625,1.0808557271957397,25
26,0.6171875,1.0580453872680664,26
27,0.734375,0.8285938501358032,27
28,0.6796875,0.8454762101173401,28
29,0.7578125,0.864692211151123,29
30,0.703125,0.7753198742866516,30
31,0.703125,0.921764075756073,31
32,0.7578125,0.778833270072937,32
33,0.6953125,0.9048000574111938,33
34,0.8671875,0.5724061131477356,34
35,0.7734375,0.6751037836074829,35
36,0.78125,0.7339098453521729,36
37,0.78125,0.7024495601654053,37
38,0.7578125,0.7554091215133667,38
39,0.7421875,0.8225746154785156,39
40,0.7578125,0.783778727054596,40
41,0.671875,0.8501321077346802,41
42,0.6640625,0.8767755031585693,42
43,0.84375,0.550823450088501,43
44,0.78125,0.7529270648956299,44
45,0.7265625,0.7260782122612,45
46,0.7734375,0.6817523837089539,46
47,0.734375,0.7280662059783936,47
48,0.765625,0.686894416809082,48
49,0.8203125,0.6191191077232361,49
50,0.7890625,0.747290849685669,50
51,0.8125,0.6088988184928894,51
52,0.78125,0.6322488188743591,52
53,0.7890625,0.6175763607025146,53
54,0.8984375,0.475030779838562,54
55,0.765625,0.6546862721443176,55
56,0.875,0.4387745261192322,56
57,0.796875,0.5875217914581299,57
58,0.8046875,0.6712502241134644,58
59,0.8125,0.5264374017715454,59
60,0.859375,0.5246133804321289,60
61,0.8203125,0.5339712500572205,61
62,0.8203125,0.5300897359848022,62
63,0.8359375,0.5294967293739319,63
64,0.8828125,0.43749624490737915,64
65,0.796875,0.6315878629684448,65
66,0.859375,0.5164638757705688,66
67,0.8515625,0.47318848967552185,67
68,0.875,0.48982399702072144,68
69,0.8203125,0.5534210205078125,69
70,0.828125,0.5547378063201904,70
71,0.859375,0.44659584760665894,71
72,0.84375,0.5489239692687988,72
73,0.828125,0.5197985172271729,73
74,0.84375,0.49314185976982117,74
75,0.828125,0.4842929244041443,75
76,0.828125,0.5253391265869141,76
77,0.8125,0.4966166317462921,77
78,0.859375,0.4094401001930237,78
79,0.8671875,0.44575536251068115,79
80,0.8828125,0.37257152795791626,80
81,0.859375,0.5008819103240967,81
82,0.8515625,0.4537026584148407,82
83,0.8828125,0.41973066329956055,83
84,0.8828125,0.34039947390556335,84
85,0.8583333492279053,0.45252057909965515,85
86,0.921875,0.2834727466106415,86
87,0.8984375,0.34261754155158997,87
88,0.9296875,0.2689375579357147,88
89,0.921875,0.308135986328125,89
90,0.9140625,0.3052063584327698,90
91,0.8828125,0.3687933683395386,91
92,0.9296875,0.2905591130256653,92
93,0.859375,0.38841134309768677,93
94,0.9375,0.26323699951171875,94
95,0.8828125,0.34450018405914307,95
96,0.9375,0.2312629669904709,96
97,0.8984375,0.39403820037841797,97
98,0.90625,0.3308354318141937,98
99,0.921875,0.3041299283504486,99
100,0.9140625,0.3078491687774658,100
101,0.9140625,0.3409692347049713,101
102,0.9453125,0.23908710479736328,102
103,0.921875,0.2871806025505066,103
104,0.9296875,0.2864014804363251,104
105,0.8984375,0.2884639501571655,105
106,0.9296875,0.2538958191871643,106
107,0.8828125,0.34036630392074585,107
108,0.9140625,0.29123762249946594,108
109,0.9140625,0.3049115240573883,109
110,0.953125,0.24056755006313324,110
111,0.8984375,0.3075035810470581,111
112,0.90625,0.310114324092865,112
113,0.953125,0.21771693229675293,113
114,0.9375,0.2372884899377823,114
115,0.8828125,0.3284047842025757,115
116,0.9375,0.2308344841003418,116
117,0.8984375,0.3327733278274536,117
118,0.9453125,0.2381000816822052,118
119,0.8828125,0.3330850601196289,119
120,0.953125,0.192543163895607,120
121,0.9765625,0.17590796947479248,121
122,0.9375,0.26290491223335266,122
123,0.9296875,0.25402212142944336,123
124,0.8984375,0.32164907455444336,124
125,0.8984375,0.3635035753250122,125
126,0.9140625,0.3166080713272095,126
127,0.9140625,0.3074917793273926,127
128,0.8984375,0.33893072605133057,128
129,0.9453125,0.20509040355682373,129
130,0.96875,0.2543267607688904,130
131,0.8828125,0.277660995721817,131
132,0.9140625,0.25631770491600037,132
133,0.921875,0.2937254011631012,133
134,0.921875,0.23637807369232178,134
135,0.96875,0.1592787504196167,135
136,0.921875,0.28823792934417725,136
137,0.9375,0.23420250415802002,137
138,0.9375,0.20679284632205963,138
139,0.9296875,0.2185136079788208,139
140,0.984375,0.15206962823867798,140
141,0.9296875,0.22995755076408386,141
142,0.9609375,0.22573667764663696,142
143,0.921875,0.2540159225463867,143
144,0.9453125,0.2548283338546753,144
145,0.921875,0.23926764726638794,145
146,0.9140625,0.2434108406305313,146
147,0.953125,0.2028578817844391,147
148,0.9453125,0.17363102734088898,148
149,0.9453125,0.20063214004039764,149
150,0.9609375,0.15928424894809723,150
151,0.9140625,0.2947879433631897,151
152,0.9375,0.2215632051229477,152
153,0.9453125,0.18750202655792236,153
154,0.921875,0.2374362349510193,154
155,0.90625,0.26297518610954285,155
156,0.921875,0.2335142344236374,156
157,0.953125,0.18121540546417236,157
158,0.953125,0.23289713263511658,158
159,0.953125,0.18176601827144623,159
160,0.921875,0.23728258907794952,160
161,0.9453125,0.19267714023590088,161
162,0.921875,0.2202836275100708,162
163,0.921875,0.2140425592660904,163
164,0.9453125,0.19021548330783844,164
165,0.9609375,0.1870402842760086,165
166,0.9609375,0.14955878257751465,166
167,0.9453125,0.23470407724380493,167
168,0.9453125,0.18413245677947998,168
169,0.9453125,0.17947837710380554,169
170,0.9453125,0.15992842614650726,170
171,0.9666666388511658,0.17842064797878265,171
172,0.984375,0.10905559360980988,172
173,0.953125,0.17193008959293365,173
174,0.9609375,0.1443903148174286,174
175,0.9609375,0.13691222667694092,175
176,0.953125,0.14092807471752167,176
177,0.953125,0.15859614312648773,177
178,0.9453125,0.14858302474021912,178
179,0.953125,0.16544757783412933,179
180,0.984375,0.09807371348142624,180
181,0.984375,0.12683744728565216,181
182,1.0,0.1012558713555336,182
183,0.9375,0.17010173201560974,183
184,0.9609375,0.16811498999595642,184
185,0.96875,0.13076095283031464,185
186,0.984375,0.12081629037857056,186
187,0.9609375,0.15508608520030975,187
188,0.984375,0.1206006109714508,188
189,0.984375,0.10064420104026794,189
190,0.984375,0.10338936001062393,190
191,0.96875,0.12891742587089539,191
192,0.953125,0.13562941551208496,192
193,0.984375,0.12290599942207336,193
194,0.9609375,0.14591597020626068,194
195,0.9765625,0.1156749576330185,195
196,0.984375,0.10340172797441483,196
197,0.9921875,0.12587931752204895,197
198,0.9765625,0.1465669870376587,198
199,0.9765625,0.10056976974010468,199
200,0.9921875,0.09919316321611404,200
201,0.9609375,0.1474844515323639,201
202,0.9765625,0.0905340313911438,202
203,0.9453125,0.14099423587322235,203
204,0.984375,0.09219351410865784,204
205,0.96875,0.13695302605628967,205
206,0.9765625,0.08237774670124054,206
207,1.0,0.051667820662260056,207
208,0.9609375,0.12080318480730057,208
209,0.9765625,0.09950423240661621,209
210,0.9609375,0.15734711289405823,210
211,0.953125,0.15658846497535706,211
212,0.984375,0.14425452053546906,212
213,0.96875,0.11726976931095123,213
214,0.9609375,0.14524830877780914,214
215,0.9921875,0.09643350541591644,215
216,0.984375,0.11945801973342896,216
217,0.9921875,0.08388838917016983,217
218,0.984375,0.08778337389230728,218
219,0.9609375,0.1290998011827469,219
220,0.984375,0.0942094475030899,220
221,1.0,0.055796898901462555,221
222,0.9765625,0.12049024552106857,222
223,0.96875,0.12326705455780029,223
224,1.0,0.08448056876659393,224
225,1.0,0.07738290727138519,225
226,1.0,0.07483780384063721,226
227,0.9921875,0.08903610706329346,227
228,0.984375,0.09879495948553085,228
229,0.984375,0.0898759663105011,229
230,0.984375,0.10566296428442001,230
231,0.9921875,0.08950228989124298,231
232,0.9921875,0.10829807817935944,232
233,0.9765625,0.0907413586974144,233
234,1.0,0.06900669634342194,234
235,0.9609375,0.08953610062599182,235
236,0.9921875,0.07411652058362961,236
237,0.9765625,0.10038460791110992,237
238,0.9921875,0.0754847526550293,238
239,1.0,0.04672221839427948,239
240,0.984375,0.10867203027009964,240
241,0.9765625,0.09271188825368881,241
242,1.0,0.08682957291603088,242
243,0.9921875,0.0797952264547348,243
244,0.984375,0.08140325546264648,244
245,1.0,0.06953485310077667,245
246,0.9765625,0.1090388298034668,246
247,0.984375,0.07120603322982788,247
248,0.96875,0.09883705526590347,248
249,0.9765625,0.09149198234081268,249
250,0.9921875,0.08064080774784088,250
251,0.9921875,0.07549509406089783,251
252,0.9921875,0.05075806379318237,252
253,0.984375,0.10197668522596359,253
254,0.984375,0.08265288919210434,254
255,0.9765625,0.0702560544013977,255
256,0.984375,0.07795926928520203,256
257,0.9833333492279053,0.06265734881162643,257
258,0.9921875,0.045902274549007416,258
259,1.0,0.06987752765417099,259
260,0.9921875,0.06615564227104187,260
261,1.0,0.047396160662174225,261
262,0.9921875,0.053130120038986206,262
263,0.9921875,0.06409364193677902,263
264,0.9921875,0.06203942373394966,264
265,0.9921875,0.06934984773397446,265
266,0.9921875,0.04748447239398956,266
267,1.0,0.04913574084639549,267
268,1.0,0.0556417740881443,268
269,1.0,0.05654085427522659,269
270,0.9921875,0.0735611543059349,270
271,1.0,0.043048784136772156,271
272,1.0,0.047580521553754807,272
273,0.984375,0.06708008050918579,273
274,1.0,0.04621601104736328,274
275,1.0,0.049078796058893204,275
